Epoch: 5, test/loss: 0.641, test/accu: 0.801
Epoch: 10, test/loss: 0.602, test/accu: 0.812
Epoch: 15, test/loss: 0.517, test/accu: 0.834
Epoch: 20, test/loss: 0.557, test/accu: 0.825
Epoch: 25, test/loss: 0.580, test/accu: 0.829
Epoch: 30, test/loss: 0.544, test/accu: 0.837
Epoch: 35, test/loss: 0.471, test/accu: 0.859
Epoch: 40, test/loss: 0.461, test/accu: 0.863
Epoch: 45, test/loss: 0.460, test/accu: 0.867
Epoch: 50, test/loss: 0.475, test/accu: 0.859
Epoch: 55, test/loss: 0.510, test/accu: 0.849
Epoch: 60, test/loss: 0.484, test/accu: 0.851
Epoch: 65, test/loss: 0.562, test/accu: 0.823
Epoch: 70, test/loss: 0.592, test/accu: 0.817
Epoch: 75, test/loss: 0.467, test/accu: 0.858
Epoch: 80, test/loss: 0.506, test/accu: 0.841
Epoch: 85, test/loss: 0.483, test/accu: 0.859
Epoch: 90, test/loss: 0.470, test/accu: 0.869
Epoch: 95, test/loss: 0.489, test/accu: 0.863
Epoch: 100, test/loss: 0.487, test/accu: 0.847
Epoch: 105, test/loss: 0.452, test/accu: 0.858
Epoch: 110, test/loss: 0.507, test/accu: 0.849
Epoch: 115, test/loss: 0.438, test/accu: 0.872
Epoch: 120, test/loss: 0.558, test/accu: 0.828
Epoch: 125, test/loss: 0.328, test/accu: 0.905
Epoch: 130, test/loss: 0.329, test/accu: 0.901
Epoch: 135, test/loss: 0.331, test/accu: 0.899
Epoch: 140, test/loss: 0.318, test/accu: 0.904
Epoch: 145, test/loss: 0.317, test/accu: 0.901
Epoch: 150, test/loss: 0.311, test/accu: 0.901
Epoch: 155, test/loss: 0.319, test/accu: 0.899
Epoch: 160, test/loss: 0.329, test/accu: 0.904
Epoch: 165, test/loss: 0.306, test/accu: 0.903
Epoch: 170, test/loss: 0.310, test/accu: 0.902
Epoch: 175, test/loss: 0.326, test/accu: 0.903
Epoch: 180, test/loss: 0.328, test/accu: 0.902
Epoch: 185, test/loss: 0.292, test/accu: 0.913
Epoch: 190, test/loss: 0.292, test/accu: 0.911
Epoch: 195, test/loss: 0.295, test/accu: 0.905
Epoch: 200, test/loss: 0.287, test/accu: 0.913
Epoch: 205, test/loss: 0.287, test/accu: 0.911
Epoch: 210, test/loss: 0.289, test/accu: 0.909
Epoch: 215, test/loss: 0.292, test/accu: 0.908
Epoch: 220, test/loss: 0.289, test/accu: 0.911
Epoch: 225, test/loss: 0.288, test/accu: 0.910
Epoch: 230, test/loss: 0.287, test/accu: 0.913
Epoch: 235, test/loss: 0.294, test/accu: 0.908
Epoch: 240, test/loss: 0.289, test/accu: 0.913
Epoch: 245, test/loss: 0.283, test/accu: 0.911
Epoch: 250, test/loss: 0.288, test/accu: 0.911
Epoch: 255, test/loss: 0.286, test/accu: 0.912
Epoch: 260, test/loss: 0.287, test/accu: 0.911
Epoch: 265, test/loss: 0.285, test/accu: 0.911
Epoch: 270, test/loss: 0.293, test/accu: 0.909
Epoch: 275, test/loss: 0.283, test/accu: 0.914
Epoch: 280, test/loss: 0.287, test/accu: 0.911
Epoch: 285, test/loss: 0.291, test/accu: 0.912
Epoch: 290, test/loss: 0.287, test/accu: 0.910
Epoch: 295, test/loss: 0.295, test/accu: 0.913
Epoch: 300, test/loss: 0.285, test/accu: 0.911
